uniqueId,name,naSales,euSales,jpSales,otherSales,globalSales
827,Castlevania: Lords of Shadow 2,0.02,0.06,0.0,0.01,0.09
828,Castlevania: Lords of Shadow 2,0.01,0.03,0.0,0.0,0.04
829,Castlevania: Order of Ecclesia,0.27,0.02,0.04,0.03,0.36
830,Castlevania: Portrait of Ruin,0.31,0.02,0.04,0.03,0.4
831,Castlevania: Symphony of the Night,0.58,0.4,0.21,0.08,1.27
832,Castlevania: The Dracula X Chronicles,0.22,0.09,0.04,0.07,0.41
833,Castlevania Chronicles,0.07,0.05,0.0,0.01,0.13
834,Castlevania Double Pack,0.07,0.03,0.0,0.0,0.1
835,Castlevania Judgment,0.12,0.02,0.01,0.01,0.16
836,Catherine,0.3,0.14,0.2,0.06,0.7
837,Catherine,0.2,0.06,0.03,0.02,0.31
838,Catwoman,0.08,0.06,0.0,0.02,0.17
839,Catwoman,0.05,0.01,0.0,0.0,0.07
840,Catwoman,0.04,0.01,0.0,0.0,0.06
841,Cave Story 3D,0.09,0.03,0.01,0.01,0.14
842,Cel Damage,0.09,0.03,0.0,0.0,0.12
843,Cel Damage,0.05,0.01,0.0,0.0,0.06
844,Celebrity Sports Showdown,0.18,0.22,0.0,0.05,0.45
845,Ceville,0.0,0.02,0.0,0.0,0.02
846,Champions: Return to Arms,0.32,0.25,0.0,0.08,0.65
847,Champions of Norrath,0.63,0.49,0.0,0.16,1.28
848,Chaos Legion,0.15,0.12,0.0,0.04,0.3
849,Chaos Wars,0.0,0.0,0.04,0.0,0.04
850,Chaotic: Shadow Warriors,0.14,0.0,0.0,0.01,0.16
851,Charlie's Angels,0.01,0.0,0.0,0.0,0.02
852,Charlie and the Chocolate Factory,0.17,0.13,0.0,0.04,0.35
853,Charlie and the Chocolate Factory,0.22,0.08,0.0,0.01,0.3
854,Charlie and the Chocolate Factory,0.14,0.04,0.0,0.0,0.18
855,Charlie and the Chocolate Factory,0.08,0.02,0.0,0.0,0.11
856,Chase: Hollywood Stunt Driver,0.09,0.03,0.0,0.0,0.12
857,Chessmaster,0.19,0.15,0.0,0.05,0.39
858,Chessmaster,0.1,0.03,0.0,0.0,0.13
859,Chessmaster: The Art of Learning,0.11,0.0,0.0,0.01,0.12
860,Chibi-Robo! Park Patrol,0.0,0.0,0.19,0.0,0.19
861,Chicago Enforcer,0.02,0.0,0.0,0.0,0.02
862,Chicken Run,0.07,0.05,0.0,0.01,0.13
863,Chicken Shoot,0.32,0.0,0.0,0.02,0.35
864,Chicken Shoot,0.13,0.0,0.0,0.01,0.14
865,Child of Eden,0.28,0.12,0.0,0.04,0.44
866,Child of Eden,0.09,0.1,0.0,0.04,0.22
867,Child of Light,0.0,0.04,0.02,0.01,0.07
868,Child of Light,0.0,0.01,0.04,0.0,0.05
869,Children of Mana,0.16,0.01,0.29,0.01,0.48
870,Chili Con Carnage,0.0,0.01,0.0,0.0,0.02
871,Chromehounds,0.24,0.0,0.01,0.02,0.28
872,Chrono Cross,0.62,0.42,0.69,0.12,1.86
873,Chrono Trigger,0.61,0.16,0.49,0.08,1.34
874,Circus Maximus: Chariot Wars,0.05,0.02,0.0,0.0,0.07
875,Cities: Skylines,0.0,0.13,0.0,0.01,0.14
876,Cities: Skylines Snowfall,0.0,0.01,0.0,0.0,0.01
877,Cities in Motion,0.0,0.04,0.0,0.01,0.05
878,Cities XL 2011,0.0,0.02,0.0,0.0,0.02
879,Cities XL 2012,0.01,0.05,0.0,0.01,0.07
880,City Crisis,0.06,0.05,0.0,0.02,0.13
881,City Life: World Edition,0.0,0.04,0.0,0.0,0.04
882,Clash of the Titans,0.09,0.15,0.01,0.05,0.31
883,Clash of the Titans,0.08,0.06,0.0,0.02,0.16
884,Classic NES Series: Castlevania,0.17,0.06,0.09,0.01,0.33
885,Classic NES Series: Donkey Kong,0.4,0.15,0.17,0.01,0.73
886,Classic NES Series: Dr. Mario,0.31,0.11,0.13,0.01,0.56
887,Classic NES Series: Metroid,0.26,0.1,0.07,0.01,0.43
888,Classic NES Series: Super Mario Bros.,0.0,0.0,1.39,0.03,1.43
889,Classic NES Series: The Legend of Zelda,0.46,0.17,0.24,0.02,0.89
890,Classic NES Series: Zelda II: The Adventure of Link,0.37,0.14,0.17,0.01,0.7
891,Class of Heroes,0.06,0.0,0.08,0.01,0.14
892,Clive Barker's Jericho,0.28,0.01,0.0,0.02,0.32
893,Clive Barker's Jericho,0.17,0.01,0.0,0.02,0.2
894,Clive Barker's Jericho,0.0,0.01,0.0,0.0,0.01
895,Clock Tower 3,0.1,0.08,0.12,0.03,0.33
896,Clock Tower II: The Struggle Within,0.02,0.01,0.12,0.01,0.17
897,Close Combat: First to Fight,0.14,0.04,0.0,0.01,0.18
898,Cloudy With a Chance of Meatballs,0.1,0.0,0.0,0.01,0.11
899,Cloudy With a Chance of Meatballs,0.09,0.01,0.0,0.01,0.1
900,Cloudy With a Chance of Meatballs,0.07,0.0,0.0,0.01,0.09
901,Clubhouse Games,0.59,1.79,0.73,0.34,3.45
902,Coded Arms,0.28,0.29,0.0,0.17,0.75
903,Coded Arms: Contagion,0.05,0.0,0.0,0.01,0.06
