uniqueId,name,yearReleased,genre,publisher,developer,rating,naSales,euSales,jpSales,otherSales,globalSales,criticScore,criticCount,userScore,userCount
88,Age of Empires: The Age of Kings,2006,Strategy,THQ,Backbone Entertainment,E10+,0.18,0.02,0.0,0.02,0.22,80,38,7.9,59
89,Age of Empires II: The Age of Kings,1999,Strategy,Microsoft Game Studios,Ensemble Studios,T,0.01,0.08,0.0,0.01,0.09,92,21,9.0,801
90,Age of Empires III,2005,Strategy,Microsoft Game Studios,Ensemble Studios,T,0.0,0.33,0.0,0.05,0.38,81,52,7.7,519
91,Age of Empires III: The Asian Dynasties,2007,Strategy,Microsoft Game Studios,Big Huge Games,T,0.0,0.05,0.0,0.01,0.06,81,19,8.5,71
92,Age of Empires Online,2011,Strategy,Microsoft Game Studios,Gas Powered Games,E10+,0.01,0.04,0.0,0.01,0.06,70,44,5.6,186
93,Age of Mythology,2002,Strategy,Microsoft Game Studios,Ensemble Studios,T,0.02,0.06,0.0,0.01,0.09,89,31,8.9,484
94,Age of Mythology: The Titans,2003,Strategy,Microsoft Game Studios,Ensemble Studios,T,0.02,0.02,0.0,0.0,0.04,84,25,8.7,119
95,Aggressive Inline,2002,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",T,0.17,0.13,0.0,0.04,0.35,85,31,8.7,14
96,Aggressive Inline,2002,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",T,0.05,0.01,0.0,0.0,0.06,85,20,7.7,7
97,Aggressive Inline,2002,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",T,0.04,0.01,0.0,0.0,0.06,88,16,7.8,5
98,Airblade,2001,Sports,Sony Computer Entertainment,Criterion Games,T,0.11,0.09,0.0,0.03,0.23,70,18,5.8,12
99,Airborne Troops: Countdown to D-Day,2005,Shooter,Playlogic Game Factory,WideScreen Games,T,0.06,0.05,0.0,0.02,0.12,39,4,8.1,9
100,Air Conflicts: Secret Wars,2011,Simulation,bitComposer Games,Games Farm,T,0.0,0.02,0.0,0.01,0.03,65,5,6.4,24
