uniqueid,name,yearreleased,genre,publisher,developer,rating
163,AMF Xtreme Bowling,2006,Sports,Mastertronic,"Atomic Planet Entertainment, Mud Duck Productions",E
164,Amped: Freestyle Snowboarding,2001,Sports,Microsoft Game Studios,Indie Built,E
165,Amped 2,2003,Sports,Microsoft Game Studios,Indie Built,E
166,Amped 3,2005,Sports,Take-Two Interactive,2K Sports,T
167,Amplitude,2003,Misc,Sony Computer Entertainment,Harmonix Music Systems,T
168,Anarchy Reigns,2012,Action,Sega,PlatinumGames,M
169,Anarchy Reigns,2012,Action,Sega,PlatinumGames,M
170,Angry Birds Star Wars,2013,Strategy,Activision,Exient Entertainment,E
171,Angry Birds Star Wars,2013,Strategy,Activision,Exient Entertainment,E
172,Angry Birds Star Wars,2013,Strategy,Activision,Exient Entertainment,E
173,Angry Birds Star Wars,2013,Strategy,Activision,Exient Entertainment,E
174,Angry Birds Trilogy,2012,Action,Activision,Exient Entertainment,E
175,Angry Birds Trilogy,2012,Action,Activision,"Rovio Mobile, Rovio Entertainment",E
176,Angry Birds Trilogy,2012,Action,Activision,"Rovio Mobile, Rovio Entertainment",E
177,Anima - Gate of Memories,2016,Action,Avanquest,"Edge Entertainment, Anima Project",T
178,Animal Crossing,2001,Simulation,Nintendo,Nintendo,E
179,Animal Crossing: Amiibo Festival,2015,Misc,Nintendo,"Nintendo, Nd Cube",E
180,Animal Crossing: City Folk,2008,Simulation,Nintendo,Nintendo,E
181,Animal Crossing: Happy Home Designer,2015,Simulation,Nintendo,Nintendo,E
182,Animal Crossing: New Leaf,2012,Simulation,Nintendo,Nintendo,E
183,Animal Crossing: Wild World,2005,Simulation,Nintendo,Nintendo,E
184,AniMates!,2007,Simulation,Lexicon Entertainment,Dreamcatcher,E
185,Anno 1701: Dawn of Discovery,2007,Simulation,Touchstone,Sunflowers Interactive,E
186,Anno 2070,2011,Strategy,Ubisoft,"Blue Byte, Related Designs",T
187,Anno 2205,2015,Strategy,Ubisoft,Blue Byte,E10+
188,Antz Extreme Racing,2002,Racing,Empire Interactive,Empire Interactive,E
189,Antz Extreme Racing,2002,Racing,Empire Interactive,Supersonic Software,E
190,Anubis II,2007,Platform,Metro 3D,Data Design Interactive,E
191,Apache: Air Assault,2010,Simulation,Activision,Gaijin Entertainment,T
192,Apache: Air Assault,2010,Simulation,Activision,Gaijin Entertainment,T
193,Apache: Air Assault,2010,Simulation,Just Flight,Gaijin Entertainment,T
194,APB Reloaded,2011,Role-Playing,Iceberg Interactive,"Reloaded Productions, Reloaded Games Inc.",M
195,Ape Escape,1999,Platform,Sony Computer Entertainment,SCEI,E
196,Ape Escape: On the Loose,2005,Platform,Sony Computer Entertainment,"SCEA, Sims",E
197,Ape Escape 2,2002,Platform,Sony Computer Entertainment,SCE Japan Studio,E
198,Ape Escape 3,2005,Platform,Sony Computer Entertainment,SCE Japan Studio,E10+
199,Ape Escape Academy,2004,Misc,Sony Computer Entertainment,Shift,E10+
200,Apex,2003,Racing,Atari,Milestone S.r.l,E
201,Apollo Justice: Ace Attorney,2007,Adventure,Capcom,Capcom,T
202,Aquaman: Battle for Atlantis,2003,Action,TDK Mediactive,TDK Mediactive,T
203,Aquapazza: Aquaplus Dream Match,2012,Fighting,Aqua Plus,Examu,T
204,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007,Racing,Midway Games,Creat Studios,M
205,Arcana Heart,2007,Fighting,AQ Interactive,Examu,T
206,Arcana Heart 3,2011,Fighting,PQube,Examu,T
207,Arcania: Gothic 4,2010,Role-Playing,JoWood Productions,Spellbound,T
208,Arcania: Gothic 4,2010,Role-Playing,JoWood Productions,Spellbound,T
209,Archer Maclean's Mercury,2005,Puzzle,Ignition Entertainment,Awesome Studios,E
210,Arc Rise Fantasia,2009,Role-Playing,Marvelous Interactive,"Image Epoch, Imageepoch",T
211,Arc the Lad: End of Darkness,2004,Role-Playing,Sony Computer Entertainment,Cattle Call,T
212,Arc the Lad: Twilight of the Spirits,2003,Role-Playing,Sony Computer Entertainment,Cattle Call,T
213,Arctic Thunder,2001,Racing,Midway Games,Inland Productions,T
214,Area 51,2005,Shooter,Midway Games,Midway Studios - Austin,M
215,Area 51,2005,Shooter,Midway Games,Midway Studios - Austin,M
216,Arena Football,2006,Sports,Electronic Arts,EA Tiburon,E10+
217,Arena Football,2006,Sports,Electronic Arts,EA Tiburon,E10+
218,Arkanoid DS,2007,Puzzle,Square Enix,Taito Corporation,E
219,ArmA II,2009,Shooter,505 Games,Bohemia Interactive,M
220,ArmA III,2013,Shooter,Bohemia Interactive,Bohemia Interactive,M
221,Armed and Dangerous,2003,Shooter,LucasArts,Planet Moon Studios,T
222,Armored Core: For Answer,2008,Simulation,Ubisoft,From Software,T
223,Armored Core: For Answer,2008,Simulation,Ubisoft,From Software,T
224,Armored Core: Last Raven,2005,Simulation,505 Games,From Software,T
225,Armored Core: Nexus,2004,Simulation,Indie Games,From Software,T
226,Armored Core: Nine Breaker,2004,Simulation,505 Games,From Software,T
227,Armored Core: Verdict Day,2013,Simulation,From Software,From Software,T
228,Armored Core 2,2000,Simulation,Ubisoft,From Software,T
229,Armored Core 2: Another Age,2001,Simulation,Metro 3D,From Software,T
230,Armored Core 3,2002,Simulation,Metro 3D,From Software,T
231,Armored Core 3 Portable,2009,Simulation,From Software,From Software,T
232,Armored Core 4,2006,Simulation,505 Games,From Software,T
233,Armored Core 4,2007,Simulation,505 Games,From Software,T
234,Armored Core V,2012,Simulation,Namco Bandai Games,From Software,T
235,Armored Core V,2012,Simulation,Namco Bandai Games,From Software,T
236,Army Corps of Hell,2011,Action,Square Enix,"Entersphere, Inc.",M
237,Army Men: Air Attack 2,2000,Action,3DO,3DO,T
238,Army Men: Green Rogue,2001,Action,3DO,3DO,T
239,Army Men: Major Malfunction,2006,Shooter,Global Star,Team 17,T
240,Army Men: Sarge's Heroes 2,2000,Shooter,3DO,3DO,T
241,Army Men: Sarge's Heroes 2,2001,Shooter,Midas Interactive Entertainment,3DO,T
242,Army Men: Sarge's War,2004,Shooter,Global Star,3DO,T
243,Army of Two,2008,Shooter,Electronic Arts,EA Montreal,M
244,Army of Two,2008,Shooter,Electronic Arts,EA Montreal,M
245,Army of Two: The 40th Day,2010,Shooter,Electronic Arts,EA Montreal,M
246,Army of Two: The 40th Day,2010,Shooter,Electronic Arts,EA Montreal,M
247,Army of Two: The 40th Day,2010,Shooter,Electronic Arts,"Buzz Monkey, EA Montreal",M
248,Army of Two: The Devil's Cartel,2013,Shooter,Electronic Arts,Visceral Games,M
249,Army of Two: The Devil's Cartel,2013,Shooter,Electronic Arts,Visceral Games,M
250,Ar Nosurge: Ode to an Unborn Star,2014,Role-Playing,Tecmo Koei,Gust,T
251,Arslan: The Warriors of Legend,2015,Action,Tecmo Koei,Omega Force,T
