uniqueId,name,criticScore,criticCount,userScore,userCount
5762,The Dukes of Hazzard: Return of the General Lee,52,17,6.8,8
5763,The Dukes of Hazzard: Return of the General Lee,49,18,7.0,4
5764,The Elder Scrolls III: Morrowind,87,34,8.7,111
5765,The Elder Scrolls IV: Oblivion,94,90,8.7,1109
5766,The Elder Scrolls IV: Oblivion,94,54,8.1,2454
5767,The Elder Scrolls IV: Oblivion,93,45,8.0,604
5768,The Elder Scrolls Online,71,64,5.7,2421
5769,The Elder Scrolls Online,77,11,8.4,613
5770,The Elder Scrolls V: Skyrim,96,89,8.4,3589
5771,The Elder Scrolls V: Skyrim,92,16,6.4,2527
5772,The Elder Scrolls V: Skyrim,94,32,8.1,9073
5773,The Evil Within,75,65,7.3,1223
5774,The Evil Within,79,24,7.3,430
5775,The Evil Within,68,18,5.9,721
5776,The Eye of Judgment,75,43,8.2,51
5777,The Eye of Judgment: Legends,69,17,7.9,16
5778,The Fast and the Furious,59,22,6.6,24
5779,The Fast and the Furious,58,7,5.3,6
5780,The Fight: Lights Out,48,39,7.5,77
5781,The First Templar,52,21,6.3,26
5782,The First Templar,57,19,5.8,60
5783,The Getaway,72,49,6.8,88
5784,The Getaway: Black Monday,57,53,7.6,47
5785,The Godfather,75,56,8.3,99
5786,The Godfather: Blackhand Edition,77,38,8.5,48
5787,The Godfather: Mob Wars,59,34,7.9,16
5788,The Godfather II,65,72,6.9,60
5789,The Godfather II,67,53,7.2,50
5790,The Golden Compass,43,7,4.9,8
5791,The Golden Compass,46,10,5.2,6
5792,The Golden Compass,41,25,4.1,14
5793,The Golden Compass,40,17,4.8,16
5794,The Golf Club,66,11,6.3,67
5795,The Golf Club,64,15,5.4,59
5796,The Great Escape,57,19,8.0,21
5797,The Guided Fate Paradox,74,27,7.8,66
5798,The Gunstringer,77,60,8.1,40
5799,The Guy Game,48,20,6.7,13
5800,The Guy Game,47,20,5.4,7
5801,The Haunted: Hell's Reach,51,8,7.6,47
5802,The History Channel: Battle for the Pacific,35,11,6.1,21
5803,The History Channel: Battle for the Pacific,36,7,2.4,15
5804,The Hobbit,59,17,8.6,14
5805,The Hobbit,67,6,9.2,17
5806,The Hobbit,61,17,7.3,8
5807,The House of the Dead: Overkill,78,65,8.7,95
5808,The House of The Dead III,72,30,7.3,9
5809,The Hustle: Detroit Streets,51,11,5.3,4
5810,The Incredible Hulk,50,4,6.0,5
5811,The Incredible Hulk,55,42,6.4,24
5812,The Incredible Hulk,55,26,6.8,20
5813,The Incredible Hulk: Ultimate Destruction,83,41,8.7,38
5814,The Incredible Hulk: Ultimate Destruction,84,47,8.0,22
5815,The Incredible Hulk: Ultimate Destruction,84,30,9.1,14
5816,The Incredibles,62,36,7.6,22
5817,The Incredibles,63,27,7.1,7
5818,The Incredibles: Rise of the Underminer,60,12,7.1,8
5819,The Incredibles: Rise of the Underminer,67,7,6.6,7
5820,The Inner World,72,18,8.1,48
5821,The Italian Job,55,18,6.3,4
5822,The Italian Job,54,22,5.8,5
5823,The King of Fighters 02/03,73,28,8.8,14
5824,The King of Fighters 2000/2001,71,31,8.6,17
5825,The King of Fighters 2006,66,23,8.6,17
5826,The King of Fighters Collection: The Orochi Saga,67,14,8.5,4
5827,The King of Fighters Collection: The Orochi Saga,61,16,7.0,9
5828,The King of Fighters EX2: Howling Blood,80,10,9.1,10
5829,The King of Fighters XI,75,30,8.5,15
5830,The King of Fighters XII,57,48,5.3,46
5831,The King of Fighters XII,63,57,4.2,33
5832,The King of Fighters XIII,79,31,8.2,51
5833,The King of Fighters XIII,77,26,8.2,76
5834,The King of Fighters XIV,79,54,8.7,208
5835,The Kore Gang,70,10,8.6,7
5836,The Last Airbender,53,4,6.6,5
5837,The Last Airbender,69,6,7.0,4
5838,The Last Guy,77,33,6.9,30
5839,The Last of Us,95,98,9.1,8003
5840,The Last Remnant,66,49,6.9,122
5841,The Last Remnant,66,23,8.3,240
5842,The Last Story,80,61,8.4,179
5843,The Legendary Starfy,75,25,8.4,26
5844,The Legend of Alon D'ar,43,14,6.7,10
5845,The Legend of Dragoon,74,12,8.4,248
5846,The Legend of Heroes: A Tear of Vermillion,68,24,7.7,26
5847,The Legend of Heroes: Trails of Cold Steel,77,20,7.5,132
5848,The Legend of Heroes: Trails of Cold Steel,86,12,7.7,128
5849,The Legend of Heroes: Trails of Cold Steel II,80,23,7.3,73
5850,The Legend of Heroes: Trails of Cold Steel II,90,4,7.8,71
5851,The Legend of Heroes II: Prophecy of the Moonlight Witch,63,25,6.9,11
5852,The Legend of Heroes III: Song of the Ocean,58,17,6.1,7
5853,The Legend of Kage 2,70,21,6.3,4
5854,The Legend of Legacy,67,31,7.1,54
5855,The Legend of Spyro: A New Beginning,68,10,6.8,8
5856,The Legend of Spyro: A New Beginning,67,13,7.3,11
5857,The Legend of Spyro: Dawn of the Dragon,64,11,6.5,19
5858,The Legend of Spyro: Dawn of the Dragon,57,9,6.8,10
5859,The Legend of Spyro: Dawn of the Dragon,59,22,6.6,36
5860,The Legend of Spyro: Dawn of the Dragon,62,35,7.2,26
5861,The Legend of Spyro: The Eternal Night,54,18,5.4,28
5862,The Legend of Spyro: The Eternal Night,56,4,2.7,6
5863,The Legend of Spyro: The Eternal Night,60,8,6.4,15
5864,The Legend of Zelda: A Link Between Worlds,91,81,8.9,1057
5865,The Legend of Zelda: A Link to the Past,95,30,9.1,314
5866,The Legend of Zelda: Four Swords Adventures,86,55,7.2,74
5867,The Legend of Zelda: Majora's Mask 3D,89,82,9.0,478
5868,The Legend of Zelda: Phantom Hourglass,90,57,8.0,416
5869,The Legend of Zelda: Skyward Sword,93,81,8.0,1958
5870,The Legend of Zelda: Spirit Tracks,87,75,7.8,228
5871,The Legend of Zelda: The Minish Cap,89,56,9.0,203
5872,The Legend of Zelda: The Wind Waker,96,80,8.9,968
5873,The Legend of Zelda: Tri Force Heroes,73,73,7.6,179
5874,The Legend of Zelda: Twilight Princess,95,73,9.0,1658
5875,The Legend of Zelda: Twilight Princess,96,16,9.2,568
5876,The Legend of Zelda: Twilight Princess HD,86,74,8.4,329
5877,The LEGO Movie Videogame,69,8,7.2,26
5878,The LEGO Movie Videogame,80,5,6.8,12
5879,The LEGO Movie Videogame,71,31,7.1,98
5880,The LEGO Movie Videogame,68,5,7.7,25
5881,The LEGO Movie Videogame,69,18,6.9,49
5882,The LEGO Movie Videogame,68,7,6.8,33
5883,The Longest Journey,91,26,8.9,439
5884,The Lord of the Rings: Aragorn's Quest,58,21,7.8,5
5885,The Lord of the Rings: Aragorn's Quest,58,12,6.0,8
5886,The Lord of the Rings: Conquest,54,45,7.1,57
5887,The Lord of the Rings: Conquest,55,58,7.0,110
5888,The Lord of the Rings: Conquest,61,9,7.8,6
5889,The Lord of the Rings: Conquest,57,24,6.7,42
5890,The Lord of the Rings: The Battle for Middle-Earth II,79,50,7.5,83
5891,The Lord of the Rings: The Battle for Middle-Earth II,84,36,7.5,366
5892,The Lord of the Rings: The Fellowship of the Ring,59,19,5.1,20
5893,The Lord of the Rings: The Fellowship of the Ring,59,23,6.6,10
5894,The Lord of the Rings: The Return of the King,85,31,8.7,105
5895,The Lord of the Rings: The Return of the King,84,31,9.1,31
5896,The Lord of the Rings: The Return of the King,84,23,8.5,21
5897,The Lord of the Rings: The Return of the King,77,13,8.2,11
5898,The Lord of the Rings: The Third Age,73,35,8.2,60
5899,The Lord of the Rings: The Third Age,74,25,7.8,19
5900,The Lord of the Rings: The Third Age,67,7,8.5,12
5901,The Lord of the Rings: The Two Towers,82,32,8.2,78
5902,The Lord of the Rings: The Two Towers,79,17,8.1,18
5903,The Lord of the Rings: The Two Towers,82,13,8.7,23
5904,The Lord of the Rings: War in the North,66,21,7.1,289
5905,The Lord of the Rings Online: Mines of Moria,85,24,8.2,99
5906,The Lost Chronicles of Zerzura,76,9,6.7,15
5907,The Lost Vikings,75,16,9.1,15
5908,The Mark of Kri,80,37,7.9,29
5909,The Matrix: Path of Neo,69,42,7.9,42
5910,The Matrix: Path of Neo,73,39,7.3,20
5911,Theme Park,72,15,7.6,14
5912,Theme Park Roller Coaster,82,11,7.9,17
5913,The Movies,84,62,8.3,131
5914,The Mummy: Tomb of the Dragon Emperor,38,7,6.8,6
5915,The Mummy: Tomb of the Dragon Emperor,39,7,6.4,5
5916,The Mummy Returns,44,13,7.0,11
5917,The Munchables,71,33,8.2,5
5918,The New York Times Crosswords,79,15,6.7,6
5919,The Next BIG Thing,75,30,7.9,35
5920,The Night of the Rabbit,75,45,7.5,82
5921,The Operative: No One Lives Forever,67,23,8.0,16
5922,The Orange Box,96,54,8.9,797
5923,The Orange Box,89,21,8.4,188
5924,The Orange Box,96,34,9.3,1495
5925,The Order: 1886,63,94,6.6,3172
5926,The Outfit,70,52,7.5,48
5927,The Peanuts Movie: Snoopy's Grand Adventure,59,4,6.6,19
5928,The Polar Express,39,10,4.3,6
5929,The Polar Express,40,7,4.7,9
5930,The Powerpuff Girls: Chemical X-Traction,30,6,6.3,4
5931,The Powerpuff Girls: Relish Rampage,46,5,6.8,5
5932,The Punisher,68,44,8.2,56
5933,Theresia...,61,6,8.0,8
5934,The Saboteur,73,69,8.2,141
5935,The Saboteur,72,54,8.1,118
5936,The Saboteur,76,20,8.0,236
5937,The Scorpion King: Rise of the Akkadian,47,12,7.2,6
5938,The Secret World,74,55,8.2,1326
5939,The Settlers,39,6,5.6,7
5940,The Settlers: Rise of an Empire,66,19,7.7,44
5941,The Settlers 7: Paths to a Kingdom,79,33,5.2,213
5942,The Shoot,60,39,6.2,11
5943,The Simpsons: Road Rage,64,23,7.7,32
5944,The Simpsons: Road Rage,61,17,8.3,6
5945,The Simpsons: Road Rage,67,16,7.7,12
5946,The Simpsons: Road Rage,55,14,6.8,9
5947,The Simpsons Game,68,10,8.2,27
5948,The Simpsons Game,69,17,7.3,18
5949,The Simpsons Game,59,7,6.7,15
5950,The Simpsons Game,71,52,7.7,71
5951,The Simpsons Game,64,19,6.1,38
5952,The Simpsons Game,71,30,7.5,49
5953,The Simpsons Skateboarding,38,21,5.0,26
5954,The Sims,92,38,7.9,451
5955,The Sims,83,33,7.7,46
5956,The Sims,85,16,7.7,22
5957,The Sims,84,17,6.9,20
5958,The Sims: Bustin' Out,81,26,8.4,42
5959,The Sims: Bustin' Out,81,30,9.0,15
5960,The Sims: Bustin' Out,81,26,8.9,12
5961,The Sims: Hot Date,85,17,7.9,70
5962,The Sims: House Party,74,17,7.9,30
5963,The Sims: Livin Large,82,23,6.6,20
5964,The Sims: Makin' Magic,80,22,8.6,31
5965,The Sims: Medieval,77,56,6.1,173
5966,The Sims: Superstar,79,20,8.2,25
5967,The Sims: Unleashed,79,21,8.0,29
5968,The Sims: Vacation,75,18,7.8,22
5969,The Sims 2,90,61,8.8,676
5970,The Sims 2,65,17,6.9,32
5971,The Sims 2,70,13,6.1,24
5972,The Sims 2,75,31,4.4,166
5973,The Sims 2,58,11,7.5,6
5974,The Sims 2,73,22,8.3,8
5975,The Sims 2,75,31,7.1,8
5976,The Sims 2: Apartment Life,75,10,7.7,19
5977,The Sims 2: Apartment Pets,50,12,3.3,4
5978,The Sims 2: Bon Voyage,74,9,7.3,24
5979,The Sims 2: Castaway,73,19,8.2,10
